acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,acc11,acc12,acc13,acc14,acc15,simbology
28, -19, 0, 12, 2, 31, 8, 8, 31, 15, 15, 25, 20, 7, 25,E
28, -19, -1, 12, 2, 31, 8, 8, 31, 15, 15, 25, 19, 7, 26,E
28, -19, -1, 12, 2, 31, 9, 8, 31, 15, 15, 25, 19, 7, 25,E
28, -19, -1, 12, 2, 30, 8, 8, 32, 14, 15, 24, 19, 7, 26,E
28, -19, -1, 12, 2, 30, 8, 9, 31, 15, 15, 25, 19, 7, 26,E
28, -19, -1, 12, 2, 30, 9, 8, 31, 15, 15, 24, 19, 7, 26,E
28, -18, -1, 13, 1, 30, 9, 8, 31, 15, 15, 25, 19, 7, 25,E
28, -17, -1, 12, 2, 30, 9, 8, 31, 15, 15, 25, 20, 6, 26,E
28, -17, -1, 13, 1, 30, 9, 7, 31, 15, 15, 24, 20, 7, 26,E
28, -18, -1, 13, 2, 31, 8, 8, 31, 15, 15, 24, 19, 7, 25,E
27, -19, -1, 12, 2, 30, 9, 8, 31, 15, 15, 24, 20, 7, 25,E
28, -19, -1, 11, 2, 31, 8, 8, 31, 14, 15, 25, 19, 7, 26,E
28, -19, -1, 12, 2, 31, 8, 7, 31, 15, 15, 24, 20, 8, 26,E
28, -18, -1, 13, 2, 30, 8, 8, 31, 14, 15, 25, 19, 7, 25,E
28, -18, -1, 12, 3, 30, 8, 8, 31, 15, 15, 25, 20, 7, 26,E
29, -14, -1, 14, 2, 29, 9, 9, 31, 14, 14, 26, 19, 6, 26,E
26, -19, 0, 12, 3, 30, 8, 10, 30, 14, 15, 25, 19, 7, 26,E
27, -20, -1, 12, 3, 31, 7, 10, 31, 14, 15, 25, 19, 7, 27,E
27, -19, 0, 12, 3, 30, 7, 9, 31, 14, 15, 25, 19, 7, 26,E
26, -20, 0, 12, 4, 30, 7, 10, 30, 14, 15, 25, 18, 7, 26,E
27, -20, 0, 11, 3, 31, 7, 10, 31, 14, 15, 25, 18, 7, 26,E
27, -19, 0, 12, 3, 30, 8, 9, 30, 14, 14, 25, 18, 7, 26,E
28, -20, -1, 12, 3, 31, 7, 10, 31, 14, 15, 25, 18, 7, 27,E
27, -19, -1, 12, 4, 31, 7, 10, 30, 14, 15, 25, 18, 7, 26,E
27, -19, -1, 12, 3, 30, 7, 9, 31, 14, 14, 25, 19, 7, 26,E
27, -19, 0, 12, 4, 30, 7, 9, 30, 14, 15, 25, 18, 7, 26,E
27, -20, -1, 12, 3, 30, 8, 10, 31, 14, 14, 25, 18, 7, 26,E
27, -19, -1, 12, 4, 30, 8, 10, 31, 14, 15, 25, 19, 7, 26,E
27, -19, 0, 12, 4, 30, 8, 10, 30, 14, 15, 25, 18, 7, 26,E
27, -19, -1, 12, 4, 30, 8, 10, 31, 14, 15, 25, 19, 7, 27,E
27, -18, -1, 12, 3, 31, 8, 9, 31, 14, 15, 25, 18, 7, 26,E
26, -20, -2, 10, 3, 31, 6, 9, 30, 13, 15, 25, 17, 7, 25,E
26, -18, -1, 12, 3, 30, 7, 9, 30, 14, 15, 24, 18, 7, 26,E
26, -20, -2, 10, 4, 31, 5, 11, 32, 12, 16, 26, 17, 7, 28,E
26, -20, -1, 11, 4, 31, 6, 10, 31, 13, 16, 25, 17, 7, 27,E
27, -19, -2, 11, 4, 31, 7, 10, 31, 13, 15, 26, 17, 7, 27,E
26, -20, -1, 11, 4, 30, 7, 10, 30, 13, 15, 25, 18, 7, 27,E
26, -19, -1, 11, 4, 30, 7, 10, 31, 13, 15, 26, 17, 7, 27,E
26, -21, -2, 11, 4, 31, 6, 10, 31, 12, 16, 25, 17, 7, 27,E
26, -21, -1, 11, 3, 31, 7, 10, 31, 13, 15, 25, 17, 7, 27,E
26, -20, -2, 9, 2, 32, 5, 9, 32, 13, 14, 27, 17, 6, 28,E
21, -22, 0, 5, 7, 34, 5, 6, 34, 13, 14, 26, 18, 7, 26,E
26, -21, -2, 13, 10, 30, 12, 7, 28, 11, 14, 25, 16, 7, 27,E
26, -24, -1, 7, 4, 34, 5, 7, 33, 13, 13, 27, 18, 7, 26,E
24, -24, 0, 8, 1, 33, 7, 5, 32, 14, 12, 25, 19, 6, 25,E
26, -22, -1, 7, 5, 32, 4, 7, 32, 12, 10, 26, 17, 7, 26,E
25, -21, 0, 9, 3, 32, 7, 6, 32, 13, 10, 26, 18, 5, 26,E
24, -24, 0, 7, 5, 33, 5, 9, 32, 12, 13, 27, 17, 7, 27,E
24, -24, 0, 6, 4, 34, 5, 8, 31, 11, 12, 26, 15, 7, 27,E
24, -22, 0, 6, 4, 32, 3, 9, 32, 10, 16, 27, 14, 7, 30,E
22, -22, 0, 6, 5, 31, 5, 10, 31, 11, 17, 25, 15, 7, 28,E
19, -25, 0, 5, 7, 31, 4, 12, 29, 13, 19, 24, 17, 10, 28,E
25, -21, -1, 7, 0, 32, 5, 7, 32, 11, 13, 26, 15, 5, 28,E
23, -22, -1, 5, 3, 31, 3, 9, 31, 11, 16, 25, 14, 7, 28,E
24, -22, -2, 5, 3, 33, 3, 9, 32, 10, 16, 26, 14, 7, 28,E
25, -23, -3, 3, 3, 33, 2, 8, 33, 8, 18, 27, 12, 7, 30,E
24, -22, -4, 4, 2, 32, 3, 8, 32, 9, 18, 25, 13, 7, 29,E
23, -23, -4, 4, 2, 33, 3, 8, 32, 10, 18, 25, 14, 8, 29,E
25, -9, 2, -1, -2, 32, -10, 6, 32, 10, 15, 23, 16, 13, 28,E
